Symbol,Market Cap
BANF,3672759071.00
BANR,2205359671.00
BAP,26205250315.00
BATRA,2675499566.00
BATRK,2428210919.00
BAX,9499751276.00
BB,2509034607.00
BBAI,3064589621.00
BBAR,3408710406.00
BBD,38631077928.00
BBDO,33203571111.00
BBIO,14406910860.00
BBNX,1320738930.00
BBT,2150584107.00
BBU,7622373775.00
BBUC,3522580922.00
BBVA,127656773050.00
BBWI,3891757711.00
BBY,15560099686.00
BC,4535001421.00
BCAT,1569038850.00
BCAX,1173576674.00
BCC,2750818601.00
BCE,21653249471.00
BCH,19455889839.00
BCO,4838389629.00
BCPC,4966432971.00
BCRX,1648553444.00
BCS,81350639042.00
BDC,4738033197.00
BDJ,1618499589.00
BDX,55302698442.00
BE,27929555058.00
BEAM,2933640631.00
BEKE,19550733233.00
BELFA,1800838481.00
BELFB,2066077276.00
BEN,12055259221.00
BEP,18667373245.00
BEPC,14986824086.00
BEPH,4462533844.00
BEPI,4663548882.00
BEPJ,7245156298.00
BETA,6531786367.00
BFAM,5881044637.00
BFC,1283764247.00
BFH,3287635272.00
BG,18251349226.00
BGC,4129668162.00
BGR,1900918440.00
BGSI,4752191146.00
BHC,2734414914.00
BHE,1669774158.00
BHF,3745858138.00
BHP,149751754994.00
BHRB,1005859111.00
BHVN,1017268040.00
BIDU,40812480773.00
BIIB,26696879459.00
BILI,10710944770.00
BILL,5275252494.00
BIO,8633565690.00
BIP,16526007914.00
BIPC,6210590949.00
BIPH,7833620645.00
BIPJ,11579733697.00
BIRK,8071020810.00
BITF,1853562807.00
BJ,11905833588.00
BK,79462932680.00
BKD,2528653371.00
BKE,2887279971.00
BKH,5286156236.00
BKNG,162045834768.00
BKR,49940626168.00
BKT,1640850055.00
BKU,3343844410.00
BKV,2752421780.00
BL,3452606211.00
BLBD,1614608563.00
BLCO,5953930269.00
BLD,12430407779.00
BLDR,12275550297.00
BLFS,1243664028.00
BLK,166877214702.00
BLKB,3012118252.00
BLLN,4578469322.00
BLSH,7078216642.00
BLTE,5674838080.00
BLX,1658898074.00
BMA,5644741583.00
BMI,5240022471.00
BMNR,13949343331.00
BMO,90748904691.00
BMRN,10339593994.00
BMY,105757369753.00
BN,104902147303.00
BNH,24742948179.00
BNJ,23197305511.00
BNL,3316957129.00
BNS,87518974200.00
BNT,14338835800.00
BNTX,23037197184.00
BOH,2650482829.00
BOKF,7367089300.00
BOOT,6041856259.00
BOX,4556076891.00
BP,97122662167.00
BPOP,7807625521.00
BPOPM,1666871375.00
BPYPM,16165475998.00
BPYPN,13899190617.00
BPYPO,14938771067.00
BPYPP,15177874570.00
BR,26950058822.00
BRBR,3752916429.00
BRC,3677425636.00
BRCB,1216356110.00
BRK/A,1110136091499.00
BRK/B,1110282071228.00
BRKR,7350912547.00
BRKRP,56628464369.00
BRO,27190751716.00
BROS,10017752861.00
BRSL,3050677689.00
BRX,7732086253.00
BRZE,3323552250.00
BSAC,14595152521.00
BSBR,48785966643.00
BSM,3289849122.00
BSX,144864236051.00
BSY,12892068678.00
BTDR,2488838785.00
BTE,2458614400.00
BTG,6065409722.00
BTI,126634288095.00
BTSG,6341186763.00
BTSGU,21429459930.00
BTU,3588416000.00
BTX,1589266213.00
BTZ,1174346100.00
BUD,109575193947.00
BULL,4439160948.00
BULLW,1701463020.00
BUR,2008690405.00
BURL,16164060031.00
BUSE,2137730660.00
BUSEP,2254430597.00
BV,1189432000.00
BVN,6428407604.00
BWA,9282340736.00
BWIN,3072991514.00
BWLP,1916961304.00
BWNB,2486999533.00
BWSN,2545636108.00
BWXT,16304131258.00
BX,111794077361.00
BXMT,3299125808.00
BXP,11181550414.00
BY,1337921428.00
BYD,6356823187.00
BZ,9159881262.00
C,192864999279.00
CAAP,4193182643.00
CACC,5084769576.00
CACI,13371472376.00
CADE,7675560420.00
CAE,8791125792.00
CAG,8108060315.00
CAH,47326556416.00
CAI,7990400859.00
CAKE,2381435948.00
CALM,4132651427.00
CALX,3555732776.00
CAMT,5398841666.00
CAPR,1161249265.00
CAR,4711117379.00
CARG,3422951895.00
CARR,45900433065.00
CART,11323046737.00
CASH,1654426784.00
CASY,20938628258.00
CAT,280389974943.00
CATY,3407273629.00
CAVA,6318923818.00
CB,115955825096.00
CBC,5663018875.00
CBL,1092608027.00
CBOE,28504835750.00
CBRE,48052341226.00
CBSH,7321604901.00
CBT,3390811542.00
CBU,3083330181.00
CBZ,2914284284.00
CC,1879645078.00
CCB,1675133515.00
CCC,4821567617.00
CCEC,1224843149.00
CCEP,41207985443.00
CCI,38587795076.00
CCJ,40967459496.00
CCK,11359460601.00
CCL,35012563228.00
CCLDO,1070101264.00
CCS,1836811905.00
CCZ,228654380189.00
CDE,10339707739.00
CDLR,1611772705.00
CDNS,91813397300.00
CDP,3345373053.00
CDRE,1781076367.00
CDTX,6932381306.00
CDW,18818191616.00
CDZIP,1627503122.00
CE,4362674977.00
CECO,1982354144.00
CEG,115116369290.00
CELC,4898738190.00
CELH,10997120770.00
CENT,2090638959.00
CENTA,1893667608.00
CENX,2880533163.00
CEPU,2602604265.00
CERT,1524246122.00
CET,12213535490.00
CF,12513845688.00
CFG,23999688353.00
CFLT,8168357313.00
CFR,8130750403.00
CG,20291110362.00
CGABL,6366006363.00
CGAU,2683023391.00
CGNX,6519564106.00
CGON,3608198187.00
CHA,1726826461.00
CHCO,1764915661.00
CHD,20158919460.00
CHDN,7898174606.00
CHE,6009867939.00
CHEF,2457000304.00
CHH,4065512217.00
CHKP,21221807859.00
CHRD,5498305857.00
CHRW,18671580983.00
CHT,32092556377.00
CHTR,25879285213.00
CHWY,13809356602.00
CHYM,8903718727.00
CI,71701911531.00
CIB,8206243802.00
CIEN,27608872873.00
CIFR,7834675431.00
CIFRW,2109791568.00
CIG,6095595436.00
CIGI,7330369897.00
CII,3445338828.00
CIM,1068495580.00
CIMN,2027762925.00
CINF,25432577804.00
CIVI,2598334832.00
CL,62550639499.00
CLBK,1757679981.00
CLBT,4358355128.00
CLDX,1966904342.00
CLF,6307520217.00
CLH,12629148521.00
CLMT,1687371543.00
CLOV,1374363626.00
CLS,37132670893.00
CLSK,3841419178.00
CLVT,2486995859.00
CLX,12820137833.00
CM,84189643591.00
CMA,10761040246.00
CMBT,2404870113.00
CMC,7238448054.00
CMCM,5217416402.00
CMCSA,99113930536.00
CME,98511397994.00
CMG,45155793700.00
CMI,70500635857.00
CMPO,2552733513.00
CMPR,1779082344.00
CMRE,1958971115.00
CMS,21819727151.00
CMSA,6621300397.00
CMSC,7028396624.00
CMSD,6980502951.00
CNA,12196236275.00
CNC,19095474300.00
CNH,11803452206.00
CNI,60663680000.00
CNK,2802975022.00
CNL,1055970052.00
CNM,9847561245.00
CNMD,1370022285.00
CNO,3841792998.00
CNOB,1329220473.00
CNOBP,1211581445.00
CNP,25161543241.00
CNQ,71783867220.00
CNR,4306165059.00
CNS,3195622444.00
CNTA,4237606405.00
CNX,5445891057.00
CNXC,2301034945.00
CNXN,1475078438.00
COCO,3063246798.00
COF,146034366405.00
COGT,5596821355.00
COHR,27871192911.00
COHU,1173385465.00
COIN,73895887227.00
COKE,14159826040.00
COLB,8459141201.00
COLD,3167581806.00
COLL,1499308592.00
COLM,2937483503.00
COMM,4171762153.00
COMP,5847253599.00
CON,2504445747.00
COO,15314251185.00
COP,115070083440.00
COR,65498006498.00
CORT,8905234451.00
CORZ,5295847004.00
CORZW,3367265718.00
CORZZ,5295847004.00
COST,397024280715.00
COTY,2964953922.00
COUR,1392768000.00
CP,66616470790.00
CPA,4868290317.00
CPAY,20804826274.00
CPB,8749060534.00
CPK,3048809674.00
CPNG,49356016477.00
CPRI,3295503069.00
CPRT,37559086139.00
CPRX,2836817892.00
CPT,11119375938.00
CQP,27034338995.00
CR,10824182974.00
CRAI,1232524049.00
CRBG,15750142963.00
CRC,3996407586.00
CRCL,20594695189.00
CRCT,1075665179.00
CRDO,32679890601.00
CRGY,2487750644.00
CRH,81023538244.00
CRI,1137173482.00
CRK,7862660445.00
CRL,9057615283.00
CRM,235581920000.00
CRML,1062589022.00
CRNX,4499771053.00
CROX,4581037574.00
CRS,15679976036.00
CRSP,5544567556.00
CRTO,1028912514.00
CRUS,6219583811.00
CRVL,3605735332.00
CRWD,129356751533.00
CRWV,42730726654.00
CSAN,2532403802.00
CSCO,307237113219.00
CSGP,28900476118.00
CSGS,2203754077.00
CSIQ,1655965190.00
CSL,13488447847.00
CSQ,3053820095.00
CSR,1079879206.00
CSTL,1156454670.00
CSTM,2505236342.00
CSW,5008181672.00
CSWC,1256803246.00
CSX,67372115068.00
CTAS,73955524752.00
CTBI,1035501815.00
CTOS,1382013475.00
CTRA,20816062272.00
CTRE,8431820159.00
CTRI,2238391139.00
CTS,1287893912.00
CTSH,38708247135.00
CTVA,44794274280.00
CUBE,8394002620.00
CUBI,2430033636.00
CUK,32192031411.00
CURB,2491956038.00
CUZ,4242808505.00
CVAC,1148611876.00
CVBF,2714291909.00
CVCO,4511233336.00
CVE,32835060570.00
CVI,3424072202.00
CVLT,5350409885.00
CVNA,86766891536.00
CVS,97428943224.00
CVX,306578798359.00
CW,20282157139.00
CWAN,6359511665.00
CWEN,6958870967.00
CWH,1138448968.00
CWK,3691776495.00
CWST,6013470900.00
CWT,2639300493.00
CX,15929157306.00
CXM,1928525659.00
CXT,3350575976.00
CXW,1946320430.00
CYBR,23305440153.00
CYD,1331525248.00
CYTK,8135508376.00
CZR,4682236212.00
D,51098170496.00
DAC,1824738359.00
DAL,43905216520.00
DAN,2559906689.00
DAO,1151451868.00
DAR,5781701297.00
DASH,95332562418.00
DAVE,2837072587.00
DAY,11060016293.00
DB,70082880953.00
DBD,2320604993.00
DBRG,1775595411.00
DBX,7705256979.00
DCI,10913836735.00
DCO,1345742522.00
DCOM,1312001972.00
DCOMG,1015515644.00
DD,16683597402.00
DDOG,53652624597.00
DDS,10633366624.00
DE,130577206218.00
DEA,1007929165.00
DEC,1175906378.00
DECK,14027940176.00
DEI,1999496984.00
DELL,93453143980.00
DEO,49810415446.00
DFH,1773470208.00
DFIN,1261572926.00
DG,27577084248.00
DGII,1627436640.00
DGNX,1849862953.00
DGX,20488618233.00
DHC,1157462478.00
