Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/14/2025,Cash,$0.515625,11/04/2025,11/14/2025,12/01/2025,USD
08/18/2025,Cash,$0.578646,08/08/2025,08/18/2025,09/02/2025,USD
